Step,Value
0,7e-05
1,7e-05
2,7e-05
3,8e-05
4,4e-05
5,8e-05
6,0.0004
7,0.00016
8,0.32303
9,0.30402
10,0.71382
11,0.68578
12,0.85783
13,0.85524
14,0.34691
15,0.82613
16,0.91305
17,0.90262
18,0.91399
19,0.38082
20,0.92991
21,0.86871
22,0.92301
23,0.94932
24,0.94675
25,0.94296
26,0.96122
27,0.95484
28,0.94944
29,0.95398
30,0.96462
31,0.96845
32,0.96966
33,0.96397
34,0.96382
35,0.96952
36,0.96374
37,0.9704
38,0.96982
39,0.97015
40,0.97366
41,0.95377
42,0.97339
43,0.96893
44,0.96987
45,0.97319
46,0.96383
47,0.96899
48,0.96712
49,0.96912
50,0.97358
51,0.97402
52,0.97299
53,0.97611
54,0.97894
55,0.9788
56,0.97842
57,0.98132
58,0.9834
59,0.98031
60,0.98364
61,0.97886
62,0.98186
63,0.98018
64,0.97974
65,0.97781
66,0.98467
67,0.98543
68,0.98091
69,0.98044
70,0.98519
71,0.98588
72,0.98538
73,0.98327
74,0.98227
75,0.98545
76,0.97932
77,0.98596
78,0.9832
79,0.98313
80,0.98612
81,0.98717
82,0.98027
83,0.9867
84,0.98546
85,0.98345
86,0.98637
87,0.97672
88,0.98519
89,0.98068
90,0.97991
91,0.98632
92,0.9855
93,0.98611
94,0.98543
95,0.98803
96,0.9841
97,0.98573
98,0.98674
99,0.98604
100,0.98561
101,0.98393
102,0.98409
103,0.98667
104,0.98196
105,0.97903
106,0.98476
107,0.98364
108,0.984
109,0.98598
110,0.98574
111,0.98562
112,0.98572
113,0.98391
114,0.98714
115,0.98793
116,0.98159
117,0.98521
118,0.98675
119,0.98349
120,0.98408
121,0.98523
122,0.98785
123,0.98324
124,0.98842
125,0.98403
126,0.98627
127,0.98933
128,0.98474
129,0.9867
130,0.98663
131,0.98959
132,0.98714
133,0.98612
134,0.98594
135,0.98487
136,0.98736
137,0.98647
138,0.98425
139,0.98837
140,0.98675
141,0.98657
142,0.98742
143,0.99006
144,0.98869
145,0.98708
146,0.99004
147,0.98803
148,0.98761
149,0.98825
150,0.98728
151,0.98838
152,0.98973
153,0.98558
154,0.98889
155,0.9888
156,0.98779
157,0.9876
158,0.98609
159,0.98696
160,0.98995
161,0.98821
162,0.98983
163,0.98761
164,0.98714
165,0.99128
166,0.99151
167,0.99124
168,0.99094
169,0.98813
