Wall time,Step,Value
1700840099.0913205,10,5.938706874847412
1700843353.426229,20,5.683371543884277
1700846611.2861035,30,5.712331295013428
1700849866.4024963,40,5.719244003295898
1700853115.6593149,50,5.727113246917725
1700856366.1605716,60,5.705998420715332
1700859605.6524818,70,5.697079181671143
1700862846.089909,80,5.705415725708008
1700866107.4278996,90,5.7143754959106445
1700869362.5594325,100,5.7267255783081055
1700872635.9091997,110,5.733996391296387
1700875879.1560652,120,5.731471061706543
1700879135.4049768,130,5.71259880065918
1700882377.0681074,140,5.713528633117676
1700885628.4491184,150,5.711171627044678
1700888863.4025366,160,5.704250335693359
1700892127.6472154,170,5.731478214263916
1700895380.5296838,180,5.729961395263672
1700898650.2888627,190,5.720132350921631
1700901895.5671616,200,5.726059436798096
1700905154.1606545,210,5.735678195953369
1700908420.5705452,220,5.737323760986328
1700911668.6913908,230,5.726102828979492
1700914916.180241,240,5.7407708168029785
1700918163.717585,250,5.747722625732422
1700921414.5297213,260,5.740700721740723
1700924648.1315644,270,5.732403755187988
1700927899.1580992,280,5.734896183013916
1700929563.443153,290,5.727441787719727
1700931231.3419082,300,5.724455833435059
1700932903.4226978,310,5.74443244934082
1700934572.3845048,320,5.746666431427002
1700936243.1774316,330,5.73010778427124
1700937915.3213143,340,5.742748260498047
1700939586.4128714,350,5.731781482696533
1700941255.5326085,360,5.72911262512207
1700942925.220424,370,5.718565464019775
1700944595.397034,380,5.72160530090332
1700946265.3463783,390,5.729039192199707
1700947935.4889703,400,5.7298359870910645
1700949606.4377606,410,5.7342023849487305
1700951277.4345489,420,5.735677719116211
1700952947.7019286,430,5.732138633728027
1700954616.3598347,440,5.729787349700928
1700956285.3889835,450,5.730739593505859
1700957956.8149028,460,5.735380172729492
1700959628.2795663,470,5.7537841796875
1700961297.545147,480,5.749236106872559
1700962967.6956615,490,5.737677097320557
1700964636.6559272,500,5.734540939331055
