Step,Value
0,0.098271
1,0.073039
2,0.066806
3,0.058209
4,0.049867
5,0.043336
6,0.039465
7,0.037392
8,0.035182
9,0.034032
10,0.033469
11,0.032262
12,0.030717
13,0.030841
14,0.030692
15,0.029336
16,0.028611
17,0.028433
18,0.028265
19,0.027223
20,0.027871
21,0.026244
22,0.025441
23,0.025781
24,0.024616
25,0.025002
26,0.025539
27,0.025387
28,0.024976
29,0.024273
30,0.024034
31,0.023323
32,0.022943
33,0.024105
34,0.023399
35,0.022513
36,0.022759
37,0.022323
38,0.022716
39,0.022993
40,0.022712
41,0.022734
42,0.021772
43,0.022101
44,0.02209
45,0.021446
46,0.022046
47,0.021425
48,0.020429
49,0.021348
50,0.020778
51,0.020993
52,0.020667
53,0.02103
54,0.019773
55,0.020785
56,0.020124
57,0.020639
58,0.019416
59,0.019588
60,0.020527
61,0.019854
62,0.020447
63,0.020141
64,0.020185
65,0.019411
66,0.019833
67,0.019455
68,0.019414
69,0.019162
70,0.019756
71,0.019599
72,0.019575
73,0.018786
74,0.020161
75,0.018949
76,0.018823
77,0.019748
78,0.018514
79,0.019193
80,0.018975
81,0.019536
82,0.01808
83,0.01879
84,0.017945
85,0.019034
86,0.018845
87,0.019247
88,0.01846
89,0.018318
90,0.018527
91,0.018295
92,0.018583
93,0.01844
94,0.018048
95,0.017958
96,0.017432
97,0.018622
98,0.017767
99,0.018381
100,0.018068
101,0.017921
102,0.017092
103,0.017596
104,0.01775
105,0.017696
106,0.017587
107,0.017042
108,0.017842
109,0.01811
110,0.016941
111,0.017466
112,0.01777
113,0.017577
114,0.017488
115,0.017971
116,0.017686
117,0.01676
118,0.017134
119,0.016587
120,0.016715
121,0.017807
122,0.017166
123,0.016772
124,0.017555
125,0.016996
126,0.016976
127,0.016922
128,0.017065
129,0.017136
130,0.016913
131,0.016791
132,0.016007
133,0.016838
134,0.016102
135,0.016861
136,0.016287
137,0.017096
138,0.016979
139,0.016437
140,0.016204
141,0.016804
142,0.016266
143,0.016554
144,0.016785
145,0.015883
146,0.016583
147,0.016112
148,0.016177
149,0.015949
150,0.016114
151,0.016386
152,0.01517
153,0.016284
154,0.016479
155,0.015657
156,0.016031
157,0.015835
158,0.016421
159,0.015861
160,0.016211
161,0.015666
162,0.016481
163,0.015894
164,0.016098
165,0.016625
166,0.015924
167,0.015223
168,0.015664
169,0.015406
170,0.015864
171,0.01556
172,0.015651
173,0.015538
174,0.015331
175,0.01542
176,0.015975
177,0.015405
178,0.015682
179,0.015606
180,0.015605
181,0.015732
182,0.015542
183,0.015074
184,0.015242
185,0.01568
186,0.015553
187,0.016055
188,0.015666
189,0.014728
190,0.014956
191,0.015333
192,0.01537
193,0.01498
194,0.014823
195,0.015662
196,0.014967
197,0.01525
198,0.015186
199,0.015276
200,0.015432
201,0.014945
202,0.015286
203,0.01521
204,0.014544
205,0.014731
206,0.014703
207,0.014963
208,0.014557
209,0.015166
210,0.015217
211,0.015005
212,0.015029
213,0.014499
214,0.01475
215,0.014949
216,0.014636
217,0.014775
218,0.014273
219,0.014738
220,0.01486
221,0.013919
222,0.014703
223,0.014607
224,0.014753
225,0.014045
226,0.013902
227,0.014592
228,0.013971
229,0.0143
230,0.013716
231,0.013887
232,0.01396
233,0.014917
234,0.014492
235,0.014515
236,0.014487
237,0.014373
238,0.014632
239,0.014193
240,0.013947
241,0.014286
242,0.013751
243,0.014069
244,0.014344
245,0.013954
246,0.014144
247,0.014033
248,0.014328
249,0.014161
250,0.014093
251,0.014322
252,0.013458
253,0.013584
254,0.013819
255,0.013211
256,0.013398
257,0.014265
258,0.013502
259,0.01415
260,0.014136
261,0.014069
262,0.013488
263,0.013667
264,0.013159
265,0.013889
266,0.013496
267,0.014162
268,0.013461
269,0.013603
270,0.013843
271,0.013079
272,0.013497
273,0.013082
274,0.013793
275,0.01364
276,0.013434
277,0.013024
278,0.0136
279,0.013685
280,0.013672
281,0.012974
282,0.013297
283,0.013422
284,0.013866
285,0.013176
286,0.013248
287,0.013748
288,0.013631
289,0.013472
290,0.013622
291,0.012786
292,0.013136
293,0.012772
294,0.013192
295,0.01277
296,0.013324
297,0.012975
298,0.013609
299,0.012563
300,0.013518
301,0.012447
302,0.013017
303,0.013397
304,0.012796
305,0.013616
306,0.012533
307,0.013051
308,0.013053
309,0.012749
310,0.012607
311,0.012587
312,0.012916
313,0.012817
314,0.012484
315,0.012617
316,0.012255
317,0.012928
