Wall time,Step,Value
1699363759.7881563,25,1.056419849395752
1699363936.336713,99,0.20166967809200287
1699364178.3568485,213,0.13571417331695557
1699364236.0828686,248,0.12722992897033691
1699364245.3081987,253,0.12559457123279572
1699364417.6173391,327,0.11602197587490082
1699364425.9146702,332,0.11385932564735413
1699364493.2224014,372,0.10708293318748474
1699364598.5218997,406,0.10952993482351303
1699364641.404061,431,0.10767915099859238
1699364699.8549879,466,0.10814100503921509
1699364840.1759858,520,0.10216126590967178
1699364873.50256,540,0.10241826623678207
1699364906.7712793,560,0.10214878618717194
1699365078.4736047,634,0.09868956357240677
1699365191.5037513,673,0.10014129430055618
1699365208.181695,683,0.09956616908311844
1699365380.7664697,757,0.10080725699663162
1699365404.9938505,772,0.0985262542963028
1699365488.5479114,822,0.0954887866973877
1699365513.5224705,837,0.09598498791456223
1699365586.188811,851,0.09540239721536636
1699365602.4581108,861,0.09509123116731644
1699365668.8536732,901,0.09422876685857773
1699365885.1375916,1000,0.09328766912221909
1699366041.2866755,1064,0.09400573372840881
1699366058.2285008,1074,0.0923624038696289
1699366313.8535345,1198,0.09317631274461746
1699366493.086287,1277,0.09155076742172241
1699366501.3215191,1282,0.09178022295236588
1699366664.9288526,1351,0.09349857270717621
1699366672.6393762,1356,0.09351637959480286
1699366827.0969617,1420,0.09252654016017914
1699366853.1929862,1435,0.09334363788366318
1699366919.672749,1475,0.09409404546022415
1699366943.9495192,1490,0.0943555161356926
1699367083.0648305,1544,0.09072062373161316
1699367311.9163747,1653,0.09050638228654861
1699367337.0497246,1668,0.09177513420581818
1699367362.1875284,1683,0.0931822806596756
1699367672.5509522,1811,0.09208817034959793
1699367771.927936,1871,0.09141578525304794
1699367877.4591792,1905,0.091338150203228
1699367894.2355902,1915,0.09104006737470627
1699368048.3707628,1979,0.09171348065137863
1699368115.9227538,2019,0.09257557988166809
1699368149.305841,2039,0.09194621443748474
1699368166.2031405,2049,0.09178756922483444
1699368305.1404321,2103,0.09267720580101013
1699368321.8568013,2113,0.09264017641544342
1699368467.4232018,2172,0.09302268177270889
1699368526.8118892,2207,0.09240394085645676
1699368698.423279,2281,0.09197091311216354
1699368705.8846989,2286,0.09246814250946045
1699368722.8448853,2296,0.09168042987585068
1699368782.652051,2331,0.09093619883060455
1699368961.4357853,2410,0.0924580991268158
1699368994.920404,2430,0.09218349307775497
1699369132.9368029,2484,0.08897396922111511
1699369175.5925276,2509,0.09141802042722702
1699369183.0440676,2514,0.09188749641180038
1699369287.1322868,2548,0.09154640138149261
1699369534.711066,2667,0.0917094275355339
1699369551.3670938,2677,0.09156530350446701
1699369558.925896,2682,0.0904298722743988
1699369568.1895046,2687,0.09079933911561966
1699369592.2630382,2702,0.09345045685768127
1699369779.4546685,2786,0.09068392217159271
1699369804.6887794,2801,0.09240172058343887
1699369821.5557334,2811,0.09372713416814804
1699369893.4609141,2825,0.0927523523569107
1699369943.4419434,2855,0.0900796577334404
1699369993.104129,2885,0.09043975174427032
1699370026.657307,2905,0.09249302744865417
1699370130.470263,2939,0.09231285005807877
1699370146.7917936,2949,0.09110385179519653
1699370179.8493214,2969,0.09194720536470413
1699370418.6137068,3083,0.09177443385124207
1699370505.7113154,3107,0.08994530886411667
1699370522.6178808,3117,0.09007742255926132
1699370800.671339,3256,0.09040100872516632
1699370842.6831017,3281,0.09016652405261993
1699370851.5756235,3286,0.09031740576028824
1699370973.6070635,3330,0.09163030982017517
1699371023.8548636,3360,0.09139080345630646
1699371032.6991339,3365,0.0906747579574585
1699371204.6139224,3439,0.08956502377986908
1699371333.0289757,3488,0.09419581294059753
1699371399.8752036,3528,0.09248845279216766
1699371596.8637052,3617,0.09149733185768127
1699371613.7195485,3627,0.089823879301548
1699371948.6442041,3770,0.09195660054683685
1699371982.3475666,3790,0.0914561077952385
1699372033.3032954,3820,0.09152139723300934
1699372196.4332829,3889,0.09242715686559677
1699372416.375749,3993,0.09251037240028381
1699372562.7873595,4052,0.09145785868167877
1699372571.8129125,4057,0.09111088514328003
1699372621.2637954,4087,0.0900159552693367
1699372671.6520023,4117,0.09125911444425583
1699372861.0468295,4201,0.09238487482070923
1699372868.6165264,4206,0.0926930382847786
1699372885.2999067,4216,0.09239058941602707
1699373042.048539,4280,0.0917537659406662
1699373205.339384,4349,0.09327980875968933
1699373467.6438577,4478,0.08886460214853287
1699373597.0184586,4527,0.09153402596712112
1699373638.2908392,4552,0.09174040704965591
1699373818.2467523,4631,0.09090546518564224
1699373909.6583133,4686,0.08956883102655411
1699373997.8942134,4710,0.08818735927343369
1699374295.6880836,4859,0.08975804597139359
1699374450.3461812,4923,0.08949626237154007
1699374508.266857,4958,0.08892475068569183
1699375089.681486,5220,0.09039849042892456
1699375115.4345198,5235,0.09019298851490021
1699375132.1548736,5245,0.08943124115467072
1699375279.4861941,5304,0.09075596928596497
1699375338.550081,5339,0.08965428173542023
1699375425.7082627,5363,0.08779489994049072
1699375442.063116,5373,0.08819837868213654
1699375516.1145978,5418,0.09001791477203369
1699375729.6127696,5517,0.08910731971263885
1699375900.37107,5591,0.08776374161243439
1699375908.0799136,5596,0.08793278783559799
1699375924.905471,5606,0.08842286467552185
1699375958.3576696,5626,0.091426320374012
1699376089.1373177,5675,0.09013333916664124
1699376244.8899128,5739,0.09156177192926407
1699376278.5162027,5759,0.09141884744167328
1699376295.045858,5769,0.09221005439758301
