Step,Value
0,4.4471
1,4.0436
2,3.4669
3,2.7517
4,2.2325
5,1.9004
6,1.6964
7,1.486
8,1.4071
9,1.313
10,1.2938
11,1.2333
12,1.1953
13,1.165
14,1.1297
15,1.1133
16,1.0982
17,1.0645
18,1.0516
19,1.0689
20,1.0357
21,1.012
22,1.0163
23,1.0223
24,1.0157
25,0.99345
26,0.99134
27,0.98624
28,0.98396
29,0.97201
30,0.96982
31,0.97063
32,0.9592
33,0.96646
34,0.97209
35,0.95339
36,0.95802
37,0.95909
38,0.9432
39,0.95413
40,0.93574
41,0.94023
42,0.93485
43,0.93232
44,0.93905
45,0.93745
46,0.93114
47,0.92615
48,0.9208
49,0.93488
50,0.93357
51,0.9291
52,0.92042
53,0.92554
54,0.92962
55,0.9189
56,0.91582
57,0.91789
58,0.9082
59,0.91987
60,0.91532
61,0.91044
62,0.90097
63,0.91325
64,0.91309
65,0.90615
66,0.91304
67,0.89387
68,0.90453
69,0.91077
70,0.89567
71,0.90219
72,0.89466
73,0.89852
74,0.90404
75,0.90281
76,0.89761
77,0.88921
78,0.89785
79,0.89026
80,0.89334
81,0.89099
82,0.89262
83,0.89012
84,0.88054
85,0.88934
86,0.88831
87,0.87587
88,0.88131
89,0.88823
90,0.88769
91,0.88833
92,0.88835
93,0.8888
94,0.88548
95,0.89356
96,0.87944
97,0.87897
98,0.88491
99,0.88375
100,0.87843
101,0.88464
102,0.87559
103,0.869
104,0.87596
105,0.86512
106,0.87725
107,0.87579
108,0.87657
109,0.87619
110,0.87372
111,0.87335
112,0.87078
113,0.87792
114,0.87444
115,0.87126
116,0.87525
117,0.87777
118,0.86813
119,0.86788
120,0.86705
121,0.87019
122,0.86936
123,0.86944
124,0.86477
125,0.86929
126,0.86188
127,0.8725
128,0.86537
129,0.86271
130,0.86175
131,0.86228
132,0.85641
133,0.85739
134,0.86385
135,0.85917
136,0.86397
137,0.86017
138,0.86114
139,0.86682
140,0.85699
141,0.85524
142,0.8574
143,0.85947
144,0.85887
145,0.85549
146,0.85118
147,0.85964
148,0.85981
149,0.86
150,0.85907
151,0.85285
152,0.85572
153,0.85734
154,0.85437
155,0.85867
156,0.8542
157,0.85195
158,0.84866
159,0.8541
160,0.85513
161,0.84922
162,0.84973
163,0.84809
164,0.85348
165,0.84971
166,0.85501
167,0.85488
168,0.84918
169,0.84645
170,0.84955
171,0.85046
172,0.84255
173,0.84756
174,0.8491
175,0.84628
176,0.842
177,0.84257
178,0.8421
179,0.83999
180,0.8433
181,0.84627
182,0.84884
183,0.83478
184,0.83871
185,0.85059
186,0.8423
187,0.84682
188,0.83602
189,0.84209
190,0.83937
191,0.84333
192,0.84515
193,0.8446
194,0.84309
195,0.84369
196,0.84449
197,0.83911
198,0.84705
199,0.84417
200,0.84513
201,0.83796
202,0.84158
203,0.84026
204,0.84583
205,0.84128
206,0.84241
207,0.8423
208,0.83628
209,0.83765
210,0.83817
211,0.8363
212,0.83376
213,0.83626
214,0.83841
215,0.84185
216,0.83747
217,0.83317
218,0.83858
219,0.84025
220,0.83606
221,0.83608
222,0.83436
223,0.82992
224,0.83243
225,0.83499
226,0.83108
227,0.83261
228,0.8289
229,0.83139
230,0.82976
231,0.83404
232,0.8327
233,0.83689
234,0.82782
235,0.82503
236,0.8357
237,0.83227
238,0.82877
239,0.83572
240,0.82778
241,0.82827
242,0.83049
243,0.83696
244,0.83515
245,0.83056
246,0.82665
247,0.83685
248,0.82902
249,0.83675
250,0.82814
251,0.82123
252,0.82792
253,0.82925
254,0.8273
255,0.82361
256,0.82288
257,0.82527
258,0.83059
259,0.83025
260,0.82704
261,0.82722
262,0.81892
263,0.82578
264,0.82554
265,0.82692
266,0.83159
267,0.82956
268,0.83431
269,0.82541
270,0.81908
271,0.82471
272,0.82683
