Wall time,Step,Value
1699363759.7881207,25,9.375000081490725e-05
1699363936.3366761,99,0.00037125000380910933
1699364178.356812,213,0.0007987500284798443
1699364236.0828316,248,0.0009299999801442027
1699364245.308162,253,0.0009487500065006316
1699364417.6172876,327,0.001226249965839088
1699364425.9146178,332,0.0012450000504031777
1699364493.2223485,372,0.001395000028423965
1699364598.5218647,406,0.0015224999515339732
1699364641.404025,431,0.0016162500251084566
1699364699.8549523,466,0.001747500034980476
1699364840.1759498,520,0.0019499999471008778
1699364873.5025094,540,0.002025000052526593
1699364906.7712276,560,0.002099999925121665
1699365078.4735534,634,0.002377500059083104
1699365191.5037155,673,0.002523750066757202
1699365208.181659,683,0.002561250003054738
1699365380.7664182,757,0.0002838750078808516
1699365404.9937975,772,0.0002894999925047159
1699365488.5478756,822,0.0003082499897573143
1699365513.5224345,837,0.0003138750034850091
1699365586.18876,851,0.0003191250143572688
1699365602.4580748,861,0.0003228750138077885
1699365668.8536313,901,0.0003378750116098672
1699365885.1365104,1000,0.000375000003259629
1699366041.2866395,1064,3.989999822806567e-05
1699366058.2284648,1074,4.027500108350068e-05
1699366313.8534827,1198,4.492500011110678e-05
1699366493.0862353,1277,4.788750084117055e-05
1699366501.3214676,1282,4.807499863090925e-05
1699366664.9288075,1351,5.066250014351681e-05
1699366672.6393304,1356,5.0850001571234316e-05
1699366827.0969226,1420,5.325000165612437e-05
1699366853.192935,1435,5.3812498663319275e-05
1699366919.672699,1475,5.531249917112291e-05
1699366943.9494677,1490,5.587499981629662e-05
1699367083.06478,1544,5.790000068373047e-05
1699367311.91634,1653,6.198749906616285e-05
1699367337.0496726,1668,6.255000334931538e-05
1699367362.1874938,1683,6.311250035651028e-05
1699367672.5509024,1811,6.791250052629039e-05
1699367771.9279017,1871,7.016250310698524e-05
1699367877.4591286,1905,7.143749826354906e-05
1699367894.2355554,1915,7.181250111898407e-05
1699368048.3707283,1979,7.421249756589532e-05
1699368115.9227028,2019,7.571250171167776e-05
1699368149.3057904,2039,7.646250014659017e-05
1699368166.20309,2049,7.683750300202519e-05
1699368305.1403966,2103,7.886249659350142e-05
1699368321.856751,2113,7.923749944893643e-05
1699368467.4231613,2172,8.145000174408779e-05
1699368526.8118544,2207,8.27624971861951e-05
1699368698.4232283,2281,8.553749648854136e-05
1699368705.884653,2286,8.572499791625887e-05
1699368722.8448496,2296,8.610000077169389e-05
1699368782.6520162,2331,8.741250348975882e-05
1699368961.435751,2410,9.037499694386497e-05
1699368994.9203694,2430,9.1125002654735e-05
1699369132.936752,2484,9.315000352216884e-05
1699369175.592493,2509,9.408750338479877e-05
1699369183.0440323,2514,9.427499753655866e-05
1699369287.1322525,2548,9.554999996908009e-05
1699369534.7110157,2667,0.00010001249756896868
1699369551.3670428,2677,0.0001003875004244037
1699369558.925845,2682,0.0001005750018521212
1699369568.1894531,2687,0.00010076250327983871
1699369592.262988,2702,0.00010132500028703362
1699369779.454634,2786,0.00010447500244481489
1699369804.6887283,2801,0.0001050374994520098
1699369821.5556986,2811,0.00010541250230744481
1699369893.4608643,2825,0.00010593749902909622
1699369943.4418929,2855,0.00010706250031944364
1699369993.1040938,2885,0.00010818750160979107
1699370026.6572554,2905,0.00010893750004470348
1699370130.4702134,2939,0.00011021250247722492
1699370146.7917588,2949,0.00011058749805670232
1699370179.8492715,2969,0.00011133749649161473
1699370418.6136582,3083,0.00011561249993974343
1699370505.7112648,3107,0.00011651249951682985
1699370522.6178296,3117,0.00011688750237226486
1699370800.671287,3256,0.00012209999840706587
1699370842.6830497,3281,0.0001230375055456534
1699370851.575588,3286,0.0001232250069733709
1699370973.607029,3330,0.00012487500498536974
1699371023.854829,3360,0.00012599999899975955
1699371032.6990993,3365,0.00012618750042747706
1699371204.6138868,3439,0.00012896250700578094
1699371333.0289233,3488,0.00013080000644549727
1699371399.8751526,3528,0.0001323000033153221
1699371596.8636694,3617,0.00013563749962486327
1699371613.7195125,3627,0.00013601250248029828
1699371948.6441681,3770,0.0001413749996572733
1699371982.3475292,3790,0.00014212500536814332
1699372033.3032615,3820,0.00014324999938253313
1699372196.4332323,3889,0.0001458375045331195
1699372416.3757138,3993,0.00014973750512581319
1699372562.7873092,4052,0.0001500000071246177
1699372571.812862,4057,0.0001500000071246177
1699372621.2637615,4087,0.0001500000071246177
1699372671.6519666,4117,0.0001500000071246177
1699372861.0467794,4201,0.0001500000071246177
1699372868.616491,4206,0.0001500000071246177
1699372885.299872,4216,0.0001500000071246177
1699373042.048504,4280,0.0001500000071246177
1699373205.3393326,4349,0.0001500000071246177
1699373467.643823,4478,0.0001500000071246177
1699373597.0184088,4527,0.0001500000071246177
1699373638.2907887,4552,0.0001500000071246177
1699373818.2467015,4631,0.0001500000071246177
1699373909.6582792,4686,0.0001500000071246177
1699373997.8941786,4710,0.0001500000071246177
1699374295.6880496,4859,0.0001500000071246177
1699374450.3461304,4923,0.0001500000071246177
1699374508.2668061,4958,0.0001500000071246177
1699375089.6814349,5220,0.0001500000071246177
1699375115.434468,5235,0.0001500000071246177
1699375132.1548228,5245,0.0001500000071246177
1699375279.4861596,5304,0.0001500000071246177
1699375338.5500462,5339,0.0001500000071246177
1699375425.7082262,5363,0.0001500000071246177
1699375442.063081,5373,0.0001500000071246177
1699375516.114564,5418,0.0001500000071246177
1699375729.612719,5517,0.0001500000071246177
1699375900.3710344,5591,0.0001500000071246177
1699375908.0798779,5596,0.0001500000071246177
1699375924.9054208,5606,0.0001500000071246177
1699375958.3576179,5626,0.0001500000071246177
1699376089.137268,5675,0.0001500000071246177
1699376244.889862,5739,0.0001500000071246177
1699376278.5161676,5759,0.0001500000071246177
1699376295.045806,5769,0.0001500000071246177
1699376319.0449657,5784,0.0001500000071246177
1699376335.5049925,5794,0.0001500000071246177
1699376352.249956,5804,0.0001500000071246177
1699376489.3783655,5858,0.0001500000071246177
1699376523.1672642,5878,0.0001500000071246177
1699376581.307946,5913,0.0001500000071246177
1699376654.1854105,5927,0.0001500000071246177
1699376754.8334007,5987,0.0001500000071246177
1699376796.01958,6012,0.0001500000071246177
1699376858.8947375,6021,0.0001500000071246177
1699376960.6536646,6081,0.0001500000071246177
1699377099.1263533,6135,0.0001500000071246177
1699377115.6612809,6145,0.0001500000071246177
1699377183.2675033,6185,0.0001500000071246177
1699377311.7330873,6234,0.0001500000071246177
