Wall time,Step,Value
1697658449.7297783,95,9.999999747378752e-05
1697658899.4554722,242,9.999999747378752e-05
1697659088.4452581,317,9.999999747378752e-05
1697659095.6890943,322,9.999999747378752e-05
1697659307.5686386,454,9.999999747378752e-05
1697659389.5935774,524,9.999999747378752e-05
1697659413.6793854,544,9.999999747378752e-05
1697659598.3292289,651,9.999999747378752e-05
1697659870.4022114,833,9.999999747378752e-05
1697659917.428851,873,9.999999747378752e-05
1697660088.0905683,970,9.999999747378752e-05
1697660159.0166776,1030,9.999999747378752e-05
1697660373.576135,1162,9.999999747378752e-05
1697660460.5777402,1237,9.999999747378752e-05
1697660607.5845919,1314,9.999999747378752e-05
1697660740.99672,1429,9.999999747378752e-05
1697660758.6751578,1444,9.999999747378752e-05
1697660997.993155,1601,9.999999747378752e-05
1697661015.4870532,1616,9.999999747378752e-05
1697661351.9498866,1853,9.999999747378752e-05
1697661529.114486,1955,9.999999747378752e-05
1697661624.0659938,2035,9.999999747378752e-05
1697661762.9796247,2102,9.999999747378752e-05
1697661891.8617294,2212,9.999999747378752e-05
1697662002.8782792,2259,9.999999747378752e-05
1697662115.4651532,2354,9.999999747378752e-05
1697662173.6675003,2404,9.999999747378752e-05
1697662266.8866808,2436,9.999999747378752e-05
1697662437.8988633,2581,9.999999747378752e-05
1697662633.3044991,2698,9.999999747378752e-05
1697662662.9853652,2723,9.999999747378752e-05
1697662675.0593982,2733,9.999999747378752e-05
1697662827.7234232,2815,9.999999747378752e-05
1697662863.7758548,2845,9.999999747378752e-05
1697663109.2031922,3007,9.999999747378752e-05
1697663121.2222242,3017,9.999999747378752e-05
1697663419.454381,3224,9.999999747378752e-05
1697663455.1083,3254,9.999999747378752e-05
1697663461.1940267,3259,9.999999747378752e-05
1697663543.5384917,3329,9.999999747378752e-05
1697663703.6953444,3416,9.999999747378752e-05
1697664033.4954884,3648,9.999999747378752e-05
1697664351.608207,3865,9.999999747378752e-05
1697664416.1010318,3920,9.999999747378752e-05
1697664644.230178,4067,9.999999747378752e-05
1697665068.3382373,4336,9.999999747378752e-05
1697665121.3351843,4381,9.999999747378752e-05
1697665237.804756,4481,9.999999747378752e-05
1697665686.2597985,4765,9.999999747378752e-05
1697666137.4104621,5054,9.999999747378752e-05
1697666229.5622613,5134,9.999999747378752e-05
1697666267.8909073,5169,9.999999747378752e-05
1697666290.8993893,5189,9.999999747378752e-05
1697666413.7420723,5246,9.999999747378752e-05
1697666526.8824306,5341,9.999999747378752e-05
1697666613.8282044,5416,9.999999747378752e-05
1697666707.694293,5448,9.999999747378752e-05
1697666830.3511317,5553,9.999999747378752e-05
1697666895.004005,5608,9.999999747378752e-05
1697666967.590361,5620,9.999999747378752e-05
1697667050.5177174,5690,9.999999747378752e-05
1697667091.8760722,5725,9.999999747378752e-05
1697667262.5198886,5822,9.999999747378752e-05
1697667267.7847888,5827,9.999999747378752e-05
1697667338.1961832,5887,9.999999747378752e-05
1697667397.6158996,5937,9.999999747378752e-05
1697667409.4662907,5947,9.999999747378752e-05
1697667515.693997,5989,9.999999747378752e-05
1697667713.9978304,6159,9.999999747378752e-05
1697667974.7213824,6331,9.999999747378752e-05
1697667986.3969254,6341,9.999999747378752e-05
1697668003.902397,6356,9.999999747378752e-05
1697668088.9626043,6378,9.999999747378752e-05
1697668126.472651,6408,9.999999747378752e-05
1697668150.2637281,6428,9.999999747378752e-05
1697668526.7821074,6700,9.999999747378752e-05
1697668706.767595,6802,9.999999747378752e-05
1697668939.1853814,6954,9.999999747378752e-05
1697668945.4711328,6959,9.999999747378752e-05
1697669245.2661808,7166,9.999999747378752e-05
1697669539.8252792,7368,9.999999747378752e-05
1697669544.43193,7373,9.999999747378752e-05
1697669814.7171714,7555,9.999999747378752e-05
1697669861.775567,7595,9.999999747378752e-05
1697669909.9291344,7635,9.999999747378752e-05
1697669927.692436,7650,9.999999747378752e-05
1697670196.8008633,7827,9.999999747378752e-05
1697670214.5810452,7842,9.999999747378752e-05
1697670355.7853072,7914,9.999999747378752e-05
