Step,Value
0,0.0024
1,0.0048903
2,0.0073707
3,0.0098412
4,0.0099208
5,0.0099208
6,0.009901
7,0.0098812
8,0.0098614
9,0.0098416
10,0.0098218
11,0.009802
12,0.0097822
13,0.0097624
14,0.0097426
15,0.0097228
16,0.009703
17,0.0096832
18,0.0096634
19,0.0096436
20,0.0096238
21,0.009604
22,0.0095842
23,0.0095644
24,0.0095446
25,0.0095248
26,0.009505
27,0.0094852
28,0.0094654
29,0.0094456
30,0.0094258
31,0.009406
32,0.0093862
33,0.0093664
34,0.0093466
35,0.0093268
36,0.009307
37,0.0092872
38,0.0092674
39,0.0092476
40,0.0092278
41,0.009208
42,0.0091882
43,0.0091684
44,0.0091486
45,0.0091288
46,0.009109
47,0.0090892
48,0.0090694
49,0.0090496
50,0.0090298
51,0.00901
52,0.0089902
53,0.0089704
54,0.0089506
55,0.0089308
56,0.008911
57,0.0088912
58,0.0088714
59,0.0088516
60,0.0088318
61,0.008812
62,0.0087922
63,0.0087724
64,0.0087526
65,0.0087328
66,0.008713
67,0.0086932
68,0.0086734
69,0.0086536
70,0.0086338
71,0.008614
72,0.0085942
73,0.0085744
74,0.0085546
75,0.0085348
76,0.008515
77,0.0084952
78,0.0084754
79,0.0084556
80,0.0084358
81,0.008416
82,0.0083962
83,0.0083764
84,0.0083566
85,0.0083368
86,0.008317
87,0.0082972
88,0.0082774
89,0.0082576
90,0.0082378
91,0.008218
92,0.0081982
93,0.0081784
94,0.0081586
95,0.0081388
96,0.008119
97,0.0080992
98,0.0080794
99,0.0080596
100,0.0080398
101,0.00802
102,0.0080002
103,0.0079804
104,0.0079606
105,0.0079408
106,0.007921
107,0.0079012
108,0.0078814
109,0.0078616
110,0.0078418
111,0.007822
112,0.0078022
113,0.0077824
114,0.0077626
115,0.0077428
116,0.007723
117,0.0077032
118,0.0076834
119,0.0076636
120,0.0076438
121,0.007624
122,0.0076042
123,0.0075844
124,0.0075646
125,0.0075448
126,0.007525
127,0.0075052
128,0.0074854
129,0.0074656
130,0.0074458
131,0.007426
132,0.0074062
133,0.0073864
134,0.0073666
135,0.0073468
136,0.007327
137,0.0073072
138,0.0072874
139,0.0072676
140,0.0072478
141,0.007228
142,0.0072082
143,0.0071884
144,0.0071686
145,0.0071488
146,0.007129
147,0.0071092
148,0.0070894
149,0.0070696
150,0.0070498
151,0.00703
152,0.0070102
153,0.0069904
154,0.0069706
155,0.0069508
156,0.006931
157,0.0069112
158,0.0068914
159,0.0068716
160,0.0068518
161,0.006832
162,0.0068122
163,0.0067924
164,0.0067726
165,0.0067528
166,0.006733
167,0.0067132
168,0.0066934
169,0.0066736
170,0.0066538
171,0.006634
172,0.0066142
173,0.0065944
174,0.0065746
175,0.0065548
176,0.006535
177,0.0065152
178,0.0064954
179,0.0064756
180,0.0064558
181,0.006436
182,0.0064162
183,0.0063964
184,0.0063766
185,0.0063568
186,0.006337
187,0.0063172
188,0.0062974
189,0.0062776
190,0.0062578
191,0.006238
192,0.0062182
193,0.0061984
194,0.0061786
195,0.0061588
196,0.006139
197,0.0061192
198,0.0060994
199,0.0060796
200,0.0060598
201,0.00604
202,0.0060202
203,0.0060004
204,0.0059806
205,0.0059608
206,0.005941
207,0.0059212
208,0.0059014
209,0.0058816
210,0.0058618
211,0.005842
212,0.0058222
213,0.0058024
214,0.0057826
215,0.0057628
216,0.005743
217,0.0057232
218,0.0057034
219,0.0056836
220,0.0056638
221,0.005644
222,0.0056242
223,0.0056044
224,0.0055846
225,0.0055648
226,0.005545
227,0.0055252
228,0.0055054
229,0.0054856
230,0.0054658
231,0.005446
232,0.0054262
233,0.0054064
234,0.0053866
235,0.0053668
236,0.005347
237,0.0053272
238,0.0053074
239,0.0052876
240,0.0052678
241,0.005248
242,0.0052282
243,0.0052084
244,0.0051886
245,0.0051688
246,0.005149
247,0.0051292
248,0.0051094
249,0.0050896
250,0.0050698
251,0.00505
252,0.0050302
253,0.0050104
254,0.0049906
255,0.0049708
256,0.004951
257,0.0049312
258,0.0049114
259,0.0048916
260,0.0048718
261,0.004852
262,0.0048322
263,0.0048124
264,0.0047926
265,0.0047728
266,0.004753
267,0.0047332
268,0.0047134
269,0.0046936
270,0.0046738
271,0.004654
272,0.0046342
273,0.0046144
274,0.0045946
275,0.0045748
276,0.004555
277,0.0045352
278,0.0045154
279,0.0044956
280,0.0044758
281,0.004456
282,0.0044362
283,0.0044164
284,0.0043966
285,0.0043768
286,0.004357
287,0.0043372
288,0.0043174
289,0.0042976
290,0.0042778
291,0.004258
292,0.0042382
293,0.0042184
294,0.0041986
295,0.0041788
296,0.004159
297,0.0041392
298,0.0041194
299,0.0040996
300,0.0040798
301,0.00406
302,0.0040402
303,0.0040204
304,0.0040006
305,0.0039808
306,0.003961
307,0.0039412
308,0.0039214
309,0.0039016
310,0.0038818
311,0.003862
312,0.0038422
313,0.0038224
314,0.0038026
315,0.0037828
316,0.003763
317,0.0037432
318,0.0037234
319,0.0037036
320,0.0036838
321,0.003664
322,0.0036442
323,0.0036244
324,0.0036046
325,0.0035848
326,0.003565
327,0.0035452
328,0.0035254
329,0.0035056
330,0.0034858
331,0.003466
332,0.0034462
333,0.0034264
334,0.0034066
335,0.0033868
336,0.003367
337,0.0033472
338,0.0033274
339,0.0033076
340,0.0032878
341,0.003268
342,0.0032482
343,0.0032284
344,0.0032086
345,0.0031888
346,0.003169
347,0.0031492
348,0.0031294
349,0.0031096
350,0.0030898
351,0.00307
352,0.0030502
353,0.0030304
354,0.0030106
355,0.0029908
356,0.002971
357,0.0029512
358,0.0029314
359,0.0029116
360,0.0028918
361,0.002872
362,0.0028522
363,0.0028324
364,0.0028126
365,0.0027928
366,0.002773
367,0.0027532
368,0.0027334
369,0.0027136
370,0.0026938
371,0.002674
372,0.0026542
373,0.0026344
374,0.0026146
375,0.0025948
376,0.002575
377,0.0025552
378,0.0025354
379,0.0025156
380,0.0024958
381,0.002476
382,0.0024562
383,0.0024364
384,0.0024166
385,0.0023968
386,0.002377
387,0.0023572
388,0.0023374
389,0.0023176
390,0.0022978
391,0.002278
392,0.0022582
393,0.0022384
394,0.0022186
395,0.0021988
396,0.002179
397,0.0021592
398,0.0021394
399,0.0021196
400,0.0020998
401,0.00208
402,0.0020602
403,0.0020404
404,0.0020206
405,0.0020008
406,0.001981
407,0.0019612
408,0.0019414
409,0.0019216
410,0.0019018
411,0.001882
412,0.0018622
413,0.0018424
414,0.0018226
415,0.0018028
416,0.001783
417,0.0017632
418,0.0017434
419,0.0017236
420,0.0017038
421,0.001684
422,0.0016642
423,0.0016444
424,0.0016246
425,0.0016048
426,0.001585
427,0.0015652
428,0.0015454
429,0.0015256
430,0.0015058
431,0.001486
432,0.0014662
433,0.0014464
434,0.0014266
435,0.0014068
436,0.001387
437,0.0013672
438,0.0013474
439,0.0013276
440,0.0013078
441,0.001288
442,0.0012682
443,0.0012484
444,0.0012286
445,0.0012088
446,0.001189
447,0.0011692
448,0.0011494
449,0.0011296
450,0.0011098
451,0.00109
452,0.0010702
453,0.0010504
454,0.0010306
455,0.0010108
456,0.000991
457,0.0009712
458,0.0009514
459,0.0009316
460,0.0009118
461,0.000892
462,0.0008722
463,0.0008524
464,0.0008326
465,0.0008128
466,0.000793
467,0.0007732
468,0.0007534
469,0.0007336
470,0.0007138
471,0.000694
472,0.0006742
473,0.0006544
474,0.0006346
475,0.0006148
476,0.000595
477,0.0005752
478,0.0005554
479,0.0005356
480,0.0005158
481,0.000496
482,0.0004762
483,0.0004564
484,0.0004366
485,0.0004168
486,0.000397
487,0.0003772
488,0.0003574
489,0.0003376
490,0.0003178
491,0.000298
492,0.0002782
493,0.0002584
494,0.0002386
495,0.0002188
496,0.000199
497,0.0001792
498,0.0001594
499,0.0001396
